uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
customer-journey-mapping,Customer Journey Mapping,CJM|User Journey Mapping|Experience Mapping|Touchpoint Analysis,,The process of visualizing and documenting all touchpoints and interactions a customer has with a service throughout their experience.,service-design,,Source: service-as-product-glossary.md,
customer-lifetime-value,Customer Lifetime Value,CLV|LTV|CLTV|Lifetime Value|Customer Value|Lifetime Customer Value|Total Customer Value,,"The predicted total revenue a business expects to earn from a single customer account throughout the entire business relationship, considering average purchase value, frequency, and retention duration.",marketing-seo,,Source: marketing-terms-glossary.md,
customer-relationship-management,Customer Relationship Management,CRM|Customer management system|Customer database|Contact management,,"Software and strategies that manage a company's interactions with current and potential customers, including contact tracking, communications, and pipeline management.",software-development,,Source: business-plan-glossary.md,
customer-retention-rate,Customer Retention Rate,CRR|Retention Rate|Client Retention|Customer Keep Rate|Retention Percentage,,"The percentage of customers who remain active and continue purchasing over a specified time period, calculated by dividing retained customers by total customers at period start and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
customer-satisfaction-score,Customer Satisfaction Score,CSAT|Satisfaction Score|Customer Happiness Score|Satisfaction Rating|Contentment Score,,"A numerical measurement of customer contentment with products, services, or interactions, typically collected through surveys using standardized scales to track satisfaction trends over time.",marketing-seo,,Source: marketing-terms-glossary.md,
customer-segmentation,Customer Segmentation,Market Segmentation|User Segmentation,,"Dividing the market into distinct groups of customers based on demographics, behavior, or needs.",marketing-seo,,Source: product-management-glossary.md,
data-architecture,Data Architecture,Information Architecture|Data System Design|Data Structure|System Design,,"The design and structure of systems that manage data collection, storage, processing, and access across an organization's technology infrastructure.",software-development,,Source: data-management-glossary.md,
data-as-a-service,Data-as-a-Service,DaaS|Data as a Service|Cloud Data Service|Data Platform,,A cloud-based service model that provides on-demand access to data through standardized interfaces and APIs.,service-design,,Source: service-as-product-glossary.md,
data-catalog,Data Catalog,Data Inventory|Asset Catalog|Data Directory|Asset Inventory,,"An organized inventory of data assets within an organization, enriched with metadata to facilitate data discovery, understanding, and governance.",operations,,Source: data-management-glossary.md,
data-dictionary,Data Dictionary,Data Codebook|Data Reference|Data Definition|Data Reference Guide,,"A centralized repository that defines and describes data elements, their structure, relationships, and business meanings within a dataset or system.",operations,,Source: data-management-glossary.md,
data-engineering,Data Engineering,Data Infrastructure Engineering|Data Pipeline Engineering|Data Systems Engineering,,"The discipline focused on designing, building, and maintaining systems and infrastructure for data collection, processing, storage, and delivery.",software-development,,Source: data-management-glossary.md,
data-fabric,Data Fabric,Unified Data Architecture|Integrated Data Platform|Unified Data Layer,,"An architecture that provides consistent data management capabilities across distributed environments, enabling seamless data access and integration.",software-development,,Source: data-management-glossary.md,
data-governance,Data Governance,DG|Information Governance|Data Stewardship|Data Management Framework,,"A framework of policies, procedures, and standards that ensures data is managed effectively, securely, and in compliance with organizational and regulatory requirements.",operations,,Source: data-management-glossary.md,
data-integration,Data Integration,Data Consolidation|Data Unification|Data Merging|Data Combination,,"The process of combining data from multiple sources into a unified view, ensuring consistency and accessibility for analysis and decision-making.",software-development,,Source: data-management-glossary.md,
data-lake,Data Lake,Data Repository|Raw Data Store|Data Pool|Unstructured Repository,,"A centralized repository that stores large amounts of raw, unstructured, and structured data in its native format until needed for analysis.",data-management,,Source: data-management-glossary.md,
data-lakehouse,Data Lakehouse,Lake-Warehouse Hybrid|Unified Analytics Platform|Hybrid Data Platform,,A hybrid architecture that combines the flexibility of data lakes with the reliability and performance of data warehouses in a single platform.,software-development,,Source: data-management-glossary.md,
data-lineage,Data Lineage,Data Provenance|Data Flow Tracking|Data Journey|Data Traceability,,The documentation and tracking of data flow from its origin through various transformations and processes to its final destination and usage.,operations,,Source: data-management-glossary.md,
data-management,Data Management,DM|Information Management|Data Administration|Information Governance,,"The comprehensive practice of collecting, storing, organizing, protecting, and maintaining data throughout its lifecycle to ensure quality, accessibility, and compliance.",operations,,Source: data-management-glossary.md,
data-mart,Data Mart,Subject-Specific Warehouse|Departmental Data Store|Specialized Data Store|Focused Repository,,"A subset of a data warehouse that focuses on specific business areas or departments, providing targeted data for particular analytical needs.",data-management,,Source: data-management-glossary.md,
data-mesh,Data Mesh,Decentralized Data Architecture|Domain-Driven Data|Federated Data,,A decentralized data architecture approach where domain teams own and manage their data as products while following common standards and governance principles.,software-development,,Source: data-management-glossary.md,
data-migration,Data Migration,Data Transfer|System Migration|Data Movement|Data Transition,,"The process of moving data from one system, format, or location to another while maintaining data integrity and minimizing disruption to operations.",operations,,Source: data-management-glossary.md,
